"ID-Q","Questions"
"Q1342","awesome what do you enjoy about traveling"
"Q1343","i''d love to hear about one of your trips"
"Q1344","are you happy you did that"
"Q1345","nice what do you do to relax"
"Q1346","that''s good what do you do when you''re annoyed"
"Q1347","okay that''s good what are some things that make you really mad"
"Q1348","yeah"
"Q1349","i see when was the last time you argued with someone and what was it about"
"Q1350","<laughter> okay"
"Q1351","is there anything you regret"
"Q1352","like what"
"Q1353","how did you decide to do that"
"Q1354","let''s come back to that later what advice would you give yourself ten or twenty years ago"
"Q1355","have you ever served in the military"
"Q1356","have you ever been diagnosed with p_t_s_d"
"Q1357","have you been diagnosed with depression"
"Q1358","how have you been feeling lately"
"Q1359","are they triggered by something"
"Q1360","have you noticed any changes in your behavior or thoughts lately"
"Q1361","okay what got you to seek help"
"Q1362","okay how has seeing a therapist affected you"
"Q1363","that''s good how easy is it for you to get a good night''s sleep"
"Q1364","what are you like when you don''t sleep well"
"Q1365","i see what you mean how would your best friend describe you"
"Q1366","do you consider yourself an introvert"
"Q1367","what would you say are some of your best qualities"
"Q1368","that''s good"
"Q1369","who''s someone that''s been a positive influence in your life"
"Q1370","okay when was the last time you felt really happy"
"Q1371","okay that''s great"
"Q1372","what''s one of your most memorable experiences"
"Q1373","how did you feel in that moment"
"Q1374","that sounds like a great situation"
"Q1375","i understand what are you most proud of in your life"
"Q1376","can you give me an example of that"
"Q1377","that''s so good to hear"
"Q1378","okay what are some things that usually put you in a good mood"
"Q1379","that''s great okay i think i''ve asked everything i need to thanks for sharing your thoughts with me goodbye"
"Q1380","hi i''m ellie thanks for coming in today"
"Q1381","i was created to talk to people in a safe and secure environment i''m not a therapist but i''m here to learn about people and would love to learn about you i''ll ask a few questions to get us started and please feel free to tell me anything your answers are totally confidential are you okay with this"
"Q1382","okay so how are you doing today"
"Q1383","that''s good where are you from originally"
"Q1384","really why''d you move to l_a"
"Q1385","awesome how did you decide to do that"
"Q1386","uh huh okay what are some things you really like about l_a"
"Q1387","cool what are some things you don''t really like about l_a"
"Q1388","yeah i see what you mean"
"Q1389","how easy was it for you to get used to living in l_a"
"Q1390","when''d you move to l_a"
"Q1391","that''s a long time"
"Q1392","how often do you go back to your hometown"
"Q1393","why"
"Q1394","okay do you travel a lot"
"Q1395","nice what do you enjoy about traveling"
"Q1396","i''d love to hear about one of your trips"
"Q1397","uh huh"
"Q1398","are you happy you did that"
"Q1399","wow"
"Q1400","tell me more about that"
"Q1401","how hard is that"
"Q1402","okay do you consider yourself an introvert"
"Q1403","why"
"Q1404","what do you do to relax"
"Q1405","what was it about"
"Q1406","awesome how hard is that"
"Q1407","what made you decide to do that"
"Q1408","that sounds like a great situation"
"Q1409","what are some things that make you really mad"
"Q1410","do you feel that way often"
"Q1411","that sucks"
"Q1412","how are you at controlling your temper"
"Q1413","when was the last time you argued with someone and what was it about"
"Q1414","okay how do you know them"
"Q1415","how close are you to them"
"Q1416","okay what''s one of your most memorable experiences"
"Q1417","okay what do you do now"
"Q1418","what''s your dream job"
"Q1419","that''s great have you ever served in the military"
"Q1420","have you ever been diagnosed with p_t_s_d"
"Q1421","have you been diagnosed with depression"
"Q1422","how easy is it for you to get a good night''s sleep"
"Q1423","why"
"Q1424","i''m sorry"
"Q1425","what are you like when you don''t sleep well"
"Q1426","that''s good have you noticed any changes in your behavior or thoughts lately"
"Q1427","have you noticed any changes in your behavior or thoughts lately"
"Q1428","how have you been feeling lately"
"Q1429","tell me about that"
"Q1430","do you think that maybe you''re being a little hard on yourself"
"Q1431","how hard is that"
"Q1432","how do you cope with them"
"Q1433","that''s good what made you decide to do that"
"Q1434","okay when was the last time you felt really happy"
"Q1435","tell me more about that"
"Q1436","that''s good how would your best friend describe you"
"Q1437","uh huh"
"Q1438","i see what you mean that makes sense"
"Q1439","is there anything you regret"
"Q1440","could you have done anything to avoid it"
"Q1441","has that gotten you in trouble"
"Q1442","what advice would you give yourself ten or twenty years ago"
"Q1443","who''s someone that''s been a positive influence in your life"
"Q1444","tell me more about that"
"Q1445","that''s so good to hear"
"Q1446","what would you say are some of your best qualities"
"Q1447","what are you most proud of in your life"
"Q1448","that''s good okay i think i''ve asked everything i need to thanks for sharing your thoughts with me"
"Q1449","goodbye"
"Q1450","hi i''m ellie thanks for coming in today i was created to talk to people in a safe and secure environment i''m not a therapist but i''m here to learn about people and would love to learn about you i''ll ask a few questions to get us started and please feel free to tell me anything your answers are totally confidential are you okay with this"
"Q1451","okay so how are you doing today"
"Q1452","that''s good where are you from originally"
"Q1453","really what are some things you really like about l_a"
"Q1454","what are some things you don''t really like about l_a"
"Q1455","yeah i see what you mean what''d you study at school"
"Q1456","are you still working in that"
"Q1457","what do you do now"
"Q1458","how did you decide to do that"
"Q1459","what''s your dream job"
"Q1460","do you consider yourself an introvert"
"Q1461","why"
"Q1462","okay what are some things that make you really mad"
"Q1463","what do you do when you''re annoyed"
"Q1464","how are you at controlling your temper"
"Q1465","that''s good when was the last time you argued with someone and what was it about"
"Q1466","yeah is there anything you regret"
"Q1467","i''m sorry to hear that"
"Q1468","how close are you to them"
"Q1469","what advice would you give yourself ten or twenty years ago"
"Q1470","okay what do you think of today''s kids"
"Q1471","okay have you ever served in the military"
"Q1472","have you ever been diagnosed with p_t_s_d"
"Q1473","have you been diagnosed with depression"
"Q1474","how long ago were you diagnosed"
"Q1475","what got you to seek help"
"Q1476","do you still go to therapy now"
"Q1477","why did you stop"
"Q1478","how hard is that"
"Q1479","i see how have you been feeling lately"
"Q1480","how do you cope with them"
"Q1481","that''s great did you think you had a problem before you found out"
"Q1482","okay when was the last time you felt really happy"
"Q1483","that''s great how would your best friend describe you"
"Q1484","how do you know them"
"Q1485","what would you say are some of your best qualities"
"Q1486","who''s someone that''s been a positive influence in your life"
"Q1487","can you tell me about that"
"Q1488","that''s so good to hear what''s one of your most memorable experiences"
"Q1489","what are some things you like to do for fun"
"Q1490","that''s good what are you most proud of in your life"
"Q1491","tell me about something you did recently that you really enjoyed"
"Q1492","when was the last time that happened"
"Q1493","that''s good  okay i think i''ve asked everything i need to thanks for sharing your thoughts with me"
"Q1494","hi i''m ellie thanks for coming in today i was created to talk to people in a safe and secure environment i''m not a therapist but i''m here to learn about people and would love to learn about you i''ll ask a few questions to get us started and please feel free to tell me anything your answers are totally confidential are you okay with this"
"Q1495","okay so how are you doing today"
"Q1496","that''s good where are you from originally"
"Q1497","really"
"Q1498","where do you live"
"Q1499","what''s it like for you living with them"
"Q1500","okay what are some things you really like about l_a"
"Q1501","mhm"
"Q1502","yeah what are some things you don''t really like about l_a"
"Q1503","do you travel a lot"
"Q1504","what''d you study at school"
"Q1505","are you still working in that"
"Q1506","what''s your dream job"
"Q1507","really"
"Q1508","what made you decide to do that"
"Q1509","do you consider yourself an introvert"
"Q1510","can you tell me about that"
"Q1511","mhm"
"Q1512","okay i understand what do you do to relax"
"Q1513","cool"
"Q1514","when was the last time that happened"
"Q1515","what do you do when you''re annoyed"
"Q1516","mhm"
"Q1517","how are you at controlling your temper"
"Q1518","when was the last time you argued with someone and what was it about"
"Q1519","mhm"
"Q1520","okay"
"Q1521","is there anything you regret"
"Q1522","what advice would you give yourself ten or twenty years ago"
"Q1523","mhm"
"Q1524","how would your best friend describe you"
"Q1525","that''s good have you ever served in the military"
"Q1526","have you ever been diagnosed with p_t_s_d"
"Q1527","how long ago were you diagnosed"
"Q1528","did you think you had a problem before you found out"
"Q1529","are they triggered by something"
"Q1530","can you tell me about that"
"Q1531","i see"
"Q1532","that''s good do you still go to therapy now"
"Q1533","is going to a therapist helping you"
"Q1534","what sort of changes have you noticed since you''ve been going to therapy"
"Q1535","how has seeing a therapist affected you"
"Q1536","yeah how hard is that"
"Q1537","mhm"
"Q1538","that''s good what got you to seek help"
"Q1539","are you happy you did that"
"Q1540","okay how easy is it for you to get a good night''s sleep"
"Q1541","what are you like when you don''t sleep well"
"Q1542","okay how have you been feeling lately"
"Q1543","do you feel down"
"Q1544","why"
"Q1545","yeah i''m sorry to hear that"
"Q1546","there are always trade offs in life aren''t there"
"Q1547","when was the last time you felt really happy"
"Q1548","can you tell me about that"
"Q1549","aww"
"Q1550","that''s great"
"Q1551","what are you most proud of in your life"
"Q1552","mhm"
"Q1553","that''s good who''s someone that''s been a positive influence in your life"
"Q1554","who''s someone that''s been a positive influence in your life"
"Q1555","okay what are some things that make you really mad"
"Q1556","okay what would you say are some of your best qualities"
"Q1557","what are some things that usually put you in a good mood"
"Q1558","what''s one of your most memorable experiences"
"Q1559","how did you feel in that moment"
"Q1560","that''s so good to hear okay i think i''ve asked everything i need to thanks for sharing your thoughts with me"
"Q1561","goodbye"
"Q1562","hi i''m ellie thanks for coming in today i was created to talk to people in a safe and secure environment i''m not a therapist but i''m here to learn about people and would love to learn about you i''ll ask a few questions to get us started and please feel free to tell me anything your answers are totally confidential are you okay with this"
"Q1563","okay so how are you doing today"
"Q1564","that''s good where are you from originally"
"Q1565","really why''d you move to l_a"
"Q1566","when''d you move to l_a"
"Q1567","mhm that''s a long time how easy was it for you to get used to living in l_a"
"Q1568","what are some things you really like about l_a"
"Q1569","mhm what are some things you don''t really like about l_a"
"Q1570","okay how often do you go back to your hometown"
"Q1571","when was the last time that happened"
"Q1572","cool how close are you to your family"
"Q1573","that''s so good to hear do you travel a lot"
"Q1574","why"
"Q1575","okay what are some things that make you really mad"
"Q1576","really"
"Q1577","how are you at controlling your temper"
"Q1578","that''s great when was the last time you argued with someone and what was it about"
"Q1579","what do you do to relax"
"Q1580","who''s someone that''s been a positive influence in your life"
"Q1581","okay okay how would your best friend describe you"
"Q1582","okay have you ever served in the military"
"Q1583","have you ever been diagnosed with p_t_s_d"
"Q1584","have you been diagnosed with depression"
"Q1585","how easy is it for you to get a good night''s sleep"
"Q1586","what are you like when you don''t sleep well"
"Q1587","have you noticed any changes in your behavior or thoughts lately"
"Q1588","tell me more about that"
"Q1589","mhm how did you decide to do that"
"Q1590","i see what you mean how have you been feeling lately"
"Q1591","that''s good what would you say are some of your best qualities"
"Q1592","tell me about something you did recently that you really enjoyed"
"Q1593","that''s good how close are you to your family do you find it easy to be a parent do you find it easy to be a parent"
"Q1594","what''s the best thing about being a parent"
"Q1595","what''s the hardest thing about being a parent"
"Q1596","how hard is that"
"Q1597","that''s good what do you think of today''s kids"
"Q1598","tell me more about that"
"Q1599","what''s one of your most memorable experiences"
"Q1600","cool can you tell me about that"
"Q1601","how did you feel in that moment"
"Q1602","i''d love to hear about one of your trips"
"Q1603","okay what''d you study at school"
"Q1604","awesome how did you decide to do that"
"Q1605","are you happy you did that"
"Q1606","okay what are you most proud of in your life"
"Q1607","when was the last time you felt really happy"
"Q1608","tell me more about that"
"Q1609","that''s so good to hear what are some things that usually put you in a good mood"
"Q1610","uh huh uh huh uh huh is there anything you regret is there anything you regret"
"Q1611","what advice would you give yourself ten or twenty years ago"
"Q1612","okay i think i''ve asked everything i need to thanks for sharing your thoughts with me goodbye"
"Q1613","hi i''m ellie thanks for coming in today i was created to talk to people in a safe and secure environment i''m not a therapist but i''m here to learn about people and would love to learn about you i''ll ask a few questions to get us started and please feel free to tell me anything your answers are totally confidential are you okay with this"
"Q1614","okay so how are you doing today"
"Q1615","that''s good where are you from originally"
"Q1616","really what are some things you really like about l_a"
"Q1617","what are some things you don''t really like about l_a"
"Q1618","i see what you mean what''d you study at school"
"Q1619","cool are you still working in that"
"Q1620","are you happy you did that"
"Q1621","what''s your dream job"
"Q1622","okay do you travel a lot"
"Q1623","why"
"Q1624","when was the last time that happened"
"Q1625","awesome do you consider yourself an introvert"
"Q1626","what do you do to relax"
"Q1627","what do you do to relax"
"Q1628","that''s good"
"Q1629","what are some things that make you really mad"
"Q1630","<laughter>'"
"Q1631","do you find it easy to be a parent"
"Q1632","what''s the hardest thing about being a parent"
"Q1633","that sounds really hard"
"Q1634","what''s the best thing about being a parent"
"Q1635","aw"
"Q1636","how close are you to your family"
"Q1637","that''s so good to hear"
"Q1638","okay what''s one of your most memorable experiences"
"Q1639","whatever comes to your mind"
"Q1640","wow"
"Q1641","how did you feel in that moment"
"Q1642","okay is there anything you regret"
"Q1643","okay i understand what advice would you give yourself ten or twenty years ago"
"Q1644","could you have done anything to avoid it"
"Q1645","how are you at controlling your temper"
"Q1646","when was the last time you argued with someone and what was it about"
"Q1647","mhm"
"Q1648","that sucks"
"Q1649","yeah"
"Q1650","i understand when was the last time you felt really happy"
"Q1651","uh huh"
"Q1652","that''s great"
"Q1653","who''s someone that''s been a positive influence in your life"
"Q1654","yeah how do you cope with them"
"Q1655","mhm"
"Q1656","that''s good"
"Q1657","have you ever served in the military"
"Q1658","really"
"Q1659","how old were you when you joined the military"
"Q1660","you were very young weren''t you"
"Q1661","why''d you decide to enlist in the military"
"Q1662","are you happy you did that"
"Q1663","how did serving in the military change you"
"Q1664","uh huh"
"Q1665","that''s good"
"Q1666","what did you do after the military"
"Q1667","cool"
"Q1668","yeah"
"Q1669","okay"
"Q1670","what would you say are some of your best qualities"
"Q1671","has that gotten you in trouble"
"Q1672","mhm"
"Q1673","yeah"
"Q1674","yes what are some things that usually put you in a good mood"
"Q1675","mhm"
"Q1676","that''s good"
"Q1677","how have you been feeling lately"
"Q1678","how easy is it for you to get a good night''s sleep"
"Q1679","uh huh"
"Q1680","what are you like when you don''t sleep well"
"Q1681","okay have you noticed any changes in your behavior or thoughts lately"
"Q1682","how hard is that"
"Q1683","uh huh that''s good"
"Q1684","have you been diagnosed with depression"
"Q1685","do you feel down"
"Q1686","what are you most proud of in your life"
"Q1687","okay how would your best friend describe you"
"Q1688","mhm"
"Q1689","that''s great"
"Q1690","okay i think i''ve asked everything i need to"
"Q1691","thanks for sharing your thoughts with me"
"Q1692","goodbye"
"Q1693","hi i''m ellie thanks for coming in today i was created to talk to people in a safe and secure environment i''m not a therapist but i''m here to learn about people and would love to learn about you i''ll ask a few questions to get us started and please feel free to tell me anything your answers are totally confidential are you okay with this'"
"Q1694","okay so how are you doing today"
"Q1695","that''s good where are you from originally"
"Q1696","really"
"Q1697","what are some things you really like about l_a"
"Q1698","what are some things you don''t really like about l_a"
"Q1699","okay what are some things that make you really mad"
"Q1700","what are some things that make you really mad"
"Q1701","uh huh"
"Q1702","what do you do when you''re annoyed"
"Q1703","can you give me an example of that"
"Q1704","has that gotten you in trouble"
"Q1705","okay when was the last time you argued with someone and what was it about"
"Q1706","what was it about"
"Q1707","how hard is that"
"Q1708","let''s come back to that later"
"Q1709","let''s come back to that later"
"Q1710","what do you do to relax"
"Q1711","cool do you consider yourself an introvert"
"Q1712","why"
"Q1713","mhm"
"Q1714","what''d you study at school"
"Q1715","what''d you study at school"
"Q1716","why don''t we talk about that later what do you do now"
"Q1717","it can be tough to find a good job these days"
"Q1718","what''s your dream job"
"Q1719","okay do you travel a lot"
"Q1720","when was the last time you felt really happy"
"Q1721","do you find it easy to be a parent"
"Q1722","what''s the hardest thing about being a parent"
"Q1723","what''s the best thing about being a parent"
"Q1724","tell me more about that"
"Q1725","tell me about your kids"
"Q1726","why"
"Q1727","how close are you to them"
"Q1728","what do you think of today''s kids"
"Q1729","what do you think of today''s kids"
"Q1730","whatever comes to your mind"
"Q1731","i see what you mean have you ever served in the military"
"Q1732","have you ever been diagnosed with p_t_s_d"
"Q1733","have you been diagnosed with depression"
"Q1734","how long ago were you diagnosed"
"Q1735","what got you to seek help"
"Q1736","tell me more about that"
"Q1737","did you think you had a problem before you found out"
"Q1738","how have you been feeling lately"
"Q1739","have you noticed any changes in your behavior or thoughts lately"
"Q1740","have you noticed any changes in your behavior or thoughts lately"
"Q1741","do you feel down"
"Q1742","mhm"
"Q1743","that''s good how easy is it for you to get a good night''s sleep"
"Q1744","why"
"Q1745","how easy is it for you to get a good night''s sleep what are you like when you don''t sleep well"
"Q1746","okay do you still go to therapy now"
"Q1747","why did you stop"
"Q1748","oh how would your best friend describe you"
"Q1749","what would you say are some of your best qualities"
"Q1750","what are some things that usually put you in a good mood"
"Q1751","cool tell me about something you did recently that you really enjoyed"
"Q1752","tell me more about that"
"Q1753","nice"
"Q1754","how did you feel in that moment"
"Q1755","okay is there anything you regret"
"Q1756","what advice would you give yourself ten or twenty years ago"
"Q1757","how did you decide to do that"
"Q1758","okay what''s one of your most memorable experiences"
"Q1759","okay can you give me an example of that"
"Q1760","tell me about that"
"Q1761","why"
"Q1762","that''s so good to hear"
"Q1763","yeah"
"Q1764","what are you most proud of in your life"
"Q1765","can you tell me about that"
"Q1766","who''s someone that''s been a positive influence in your life"
"Q1767","who''s someone that''s been a positive influence in your life"
"Q1768","okay i think i''ve asked everything i need to"
"Q1769","thanks for sharing your thoughts with me"
"Q1770","goodbye"
"Q1771","okay so how are you doing today"
"Q1772","that''s good where are you from originally"
"Q1773","really"
"Q1774","what are some things you really like about l_a"
"Q1775","what are some things you don''t really like about l_a"
"Q1776","mhm"
"Q1777","okay do you travel a lot"
"Q1778","what do you enjoy about traveling"
"Q1779","yeah i''d love to hear about one of your trips"
"Q1780","how old were you when you joined the military"
"Q1781","you were very young weren''t you"
"Q1782","did you ever see combat"
"Q1783","okay how did serving in the military change you"
"Q1784","like what"
"Q1785","that sucks"
"Q1786","what did you do after the military"
"Q1787","what made you decide to do that"
"Q1788","what made you decide to do that"
"Q1789","mhm"
"Q1790","that''s good"
"Q1791","how easy was it for you to go back to civilian life"
"Q1792","okay what''d you study at school"
"Q1793","are you still working in that"
"Q1794","i''m sorry to hear that"
"Q1795","that''s good"
"Q1796","what''s your dream job"
"Q1797","what''s your dream job"
"Q1798","yeah"
"Q1799","what do you think of today''s kids"
"Q1800","what do you think of today''s kids"
"Q1801","yeah i see what you mean what are some things that make you really mad"
"Q1802","mhm"
"Q1803","can you give me an example of that"
"Q1804","mm"
"Q1805","what do you do when you''re annoyed"
"Q1806","yeah"
"Q1807","how are you at controlling your temper"
"Q1808","okay when was the last time you argued with someone and what was it about"
"Q1809","yeah"
"Q1810","i understand how close are you to your family"
"Q1811","that''s good"
"Q1812","when was the last time you felt really happy"
"Q1813","that''s so good to hear"
"Q1814","how have you been feeling lately"
"Q1815","yeah tell me more about that"
"Q1816","that''s great"
"Q1817","have you noticed any changes in your behavior or thoughts lately"
"Q1818","have you noticed any changes in your behavior or thoughts lately"
"Q1819","like what"
"Q1820","yeah"
"Q1821","how hard is that"
"Q1822","how hard is that"
"Q1823","okay how easy is it for you to get a good night''s sleep"
"Q1824","are they triggered by something"
"Q1825","yeah what got you to seek help"
"Q1826","what got you to seek help"
"Q1827","mhm"
"Q1828","is going to a therapist helping you"
"Q1829","yeah"
"Q1830","i understand is going to a therapist helping you"
"Q1831","what sort of changes have you noticed since you''ve been going to therapy"
"Q1832","that''s good"
"Q1833","do you have disturbing thoughts"
"Q1834","do you have disturbing thoughts"
"Q1835","okay how would your best friend describe you"
"Q1836","mhm"
"Q1837","mhm"
"Q1838","do you consider yourself an introvert"
"Q1839","do you consider yourself an introvert"
"Q1840","let''s come back to that later"
"Q1841","what do you do to relax"
"Q1842","okay is there anything you regret"
"Q1843","yeah mhm i see what you mean"
"Q1844","what advice would you give yourself ten or twenty years ago"
"Q1845","okay who''s someone that''s been a positive influence in your life"
"Q1846","can you give me an example of that"
"Q1847","yeah what are you most proud of in your life"
"Q1848","what are you most proud of in your life"
"Q1849","that''s great tell me about something you did recently that you really enjoyed"
"Q1850","mhm"
"Q1851","that sounds like a great situation"
"Q1852","okay i think i''ve asked everything i need to thanks for sharing your thoughts with me"
"Q1853","goodbye"
"Q1854","hi i''m ellie thanks for coming in today i was created to talk to people in a safe and secure environment"
"Q1855","i''m not a therapist but i''m here to learn about people and would love to learn about you i''ll ask a few questions to get us started and please feel free to tell me anything your answers are totally confidential are you okay with this"
"Q1856","okay so how are you doing today"
"Q1857","that''s good"
"Q1858","where are you from originally"
"Q1859","really"
"Q1860","what are some things you really like about l_a"
"Q1861","what are some things you don''t really like about l_a"
"Q1862","yeah i see what you mean do you travel a lot"
"Q1863","okay what''d you study at school"
"Q1864","that sounds interesting are you still working in that"
"Q1865","what''s your dream job"
"Q1866","mhm"
"Q1867","yeah how close are you to your family"
"Q1868","okay"
"Q1869","do you consider yourself an introvert"
"Q1870","let''s come back to that later"
"Q1871","what do you do when you''re annoyed"
"Q1872","how are you at controlling your temper"
"Q1873","has that gotten you in trouble"
"Q1874","when was the last time you argued with someone and what was it about"
"Q1875","that sucks"
"Q1876","who''s someone that''s been a positive influence in your life"
"Q1877","that''s great what''s one of your most memorable experiences"
"Q1878","awesome how would your best friend describe you"
"Q1879","what are some things that usually put you in a good mood"
"Q1880","okay how easy is it for you to get a good night''s sleep"
"Q1881","why"
"Q1882","are they triggered by something"
"Q1883","how do you cope with them"
"Q1884","mhm"
"Q1885","that''s good what are you like when you don''t sleep well"
"Q1886","i''m sorry to hear that"
"Q1887","have you ever been diagnosed with p_t_s_d"
"Q1888","how long ago were you diagnosed"
"Q1889","what got you to seek help"
"Q1890","yeah that sounds really hard"
"Q1891","did you think you had a problem before you found out"
"Q1892","how have you been feeling lately"
"Q1893","that''s good"
"Q1894","have you been diagnosed with depression"
"Q1895","okay is going to a therapist helping you"
"Q1896","what sort of changes have you noticed since you''ve been going to therapy"
"Q1897","that''s good when was the last time you felt really happy"
"Q1898","what are you most proud of in your life"
"Q1899","that''s good is there anything you regret"
"Q1900","what advice would you give yourself ten or twenty years ago"
"Q1901","what would you say are some of your best qualities"
"Q1902","okay what are some things you like to do for fun"
"Q1903","nice okay i think i''ve asked everything i need to thanks for sharing your thoughts with me"
"Q1904","goodbye"
"Q1905","hi i''m ellie thanks for coming in today i was created to talk to people in a safe and secure environment i''m not a therapist but i''m here to learn about people and would love to learn about you i''ll ask a few questions to get us started and please feel free to tell me anything your answers are totally confidential are you okay with this"
"Q1906","okay so how are you doing today"
"Q1907","that''s good where are you from originally"
"Q1908","really why''d you move to l_a"
"Q1909","when''d you move to l_a"
"Q1910","how easy was it for you to get used to living in l_a"
"Q1911","what are some things you really like about l_a"
"Q1912","what are some things you don''t really like about l_a"
"Q1913","that''s good how do you like your living situation"
"Q1914","that''s great what''d you study at school"
"Q1915","that sounds interesting how did you decide to do that"
"Q1916","are you still working in that"
"Q1917","what do you do now"
"Q1918","cool what''s your dream job"
"Q1919","okay  do you travel a lot"
"Q1920","why"
"Q1921","i see what you mean what do you do to relax"
"Q1922","what are some things that make you really mad"
"Q1923","how are you at controlling your temper"
"Q1924","okay when was the last time you argued with someone and what was it about"
"Q1925","okay do you consider yourself an introvert"
"Q1926","can you tell me about that"
"Q1927","okay what are some things you like to do for fun"
"Q1928","when was the last time that happened"
"Q1929","okay who''s someone that''s been a positive influence in your life"
"Q1930","how do you know them"
"Q1931","how close are you to them"
"Q1932","that sucks is it uncomfortable for you to talk about this"
"Q1933","okay can you tell me about that"
"Q1934","i see what you mean how would your best friend describe you"
"Q1935","what would you say are some of your best qualities"
"Q1936","mhm tell me about something you did recently that you really enjoyed"
"Q1937","how did you feel in that moment"
"Q1938","that''s good have you ever served in the military"
"Q1939","how easy is it for you to get a good night''s sleep"
"Q1940","uh oh why"
"Q1941","hmm are they triggered by something"
"Q1942","what are you like when you don''t sleep well"
"Q1943","okay have you been diagnosed with depression"
"Q1944","have you ever been diagnosed with p_t_s_d"
"Q1945","how have you been feeling lately"
"Q1946","it can be tough to find a good job these days have you noticed any changes in your behavior or thoughts lately"
"Q1947","okay what are you most proud of in your life"
"Q1948","tell me about your kids"
"Q1949","wow"
"Q1950","what''s the best thing about being a parent"
"Q1951","can you give me an example of that"
"Q1952","that''s so good to hear what''s one of your most memorable experiences"
"Q1953","i''d love to hear all about it"
"Q1954","okay do you find it easy to be a parent"
"Q1955","that''s good what''s the hardest thing about being a parent"
"Q1956","i see what you mean is there anything you regret"
"Q1957","what advice would you give yourself ten or twenty years ago"
"Q1958","when was the last time you felt really happy"
"Q1959","hi i''m ellie thanks for coming in today i was created to talk to people in a safe and secure environment i''m not a therapist but i''m here to learn about people and would love to learn about you i''ll ask a few questions to get us started and please feel free to tell me anything your answers are totally confidential are you okay with this"
"Q1960","okay so how are you doing today"
"Q1961","that''s good where are you from originally"
"Q1962","really what are some things you really like about l_a"
"Q1963","that''s great what are some things you don''t really like about l_a"
"Q1964","okay do you travel a lot"
"Q1965","what do you enjoy about traveling"
"Q1966","i''d love to hear about one of your trips"
"Q1967","nice do you consider yourself an introvert"
"Q1968","why"
"Q1969","what do you do to relax"
"Q1970","okay what are some things that make you really mad"
"Q1971","what do you do when you''re annoyed"
"Q1972","'<laughter>'"
"Q1973","how are you at controlling your temper"
"Q1974","when was the last time you argued with someone and what was it about"
"Q1975","uh oh that sucks"
"Q1976","that''s good do you find it easy to be a parent"
"Q1977","what''s the hardest thing about being a parent"
"Q1978","what''s the best thing about being a parent"
"Q1979","that''s so good to hear tell me about your kids"
"Q1980","cool what''d you study at school"
"Q1981","are you still working in that"
"Q1982","what do you do now"
"Q1983","what''s your dream job"
"Q1984","that''s good what do you think of today''s kids"
"Q1985","'<laughter>'"
"Q1986","yeah i see what you mean"
"Q1987","when was the last time you felt really happy"
"Q1988","can you tell me about that"
"Q1989","yeah how hard is that"
"Q1990","how do you know them"
"Q1991","how do you know them"
"Q1992","mhm"
"Q1993","let''s come back to that later"
"Q1994","have you ever served in the military"
"Q1995","have you ever been diagnosed with p_t_s_d"
"Q1996","have you been diagnosed with depression"
"Q1997","how long ago were you diagnosed"
"Q1998","what got you to seek help"
"Q1999","did you think you had a problem before you found out"
"Q2000","what were your symptoms"
"Q2001","do you feel like therapy''s useful"
"Q2002","do you still go to therapy now"
"Q2003","what sort of changes have you noticed since you''ve been going to therapy"
"Q2004","yeah"
"Q2005","how have you been feeling lately"
"Q2006","have you noticed any changes in your behavior or thoughts lately"
"Q2007","how do you cope with them"
"Q2008","that sounds really hard"
"Q2009","how easy is it for you to get a good night''s sleep"
"Q2010","i''m sorry"
"Q2011","what are you like when you don''t sleep well"
"Q2012","mhm i see what you mean"
"Q2013","what are some things that usually put you in a good mood"
"Q2014","tell me about something you did recently that you really enjoyed"
"Q2015","is there anything you regret"
"Q2016","what advice would you give yourself ten or twenty years ago"
"Q2017","could you have done anything to avoid it"
"Q2018","okay who''s someone that''s been a positive influence in your life"
"Q2019","what''s one of your most memorable experiences"
"Q2020","can you tell me about that"
"Q2021","that sounds like a great situation how would your best friend describe you"
"Q2022","okay when was the last time you felt really happy"
"Q2023","tell me more about that"
"Q2024","what would you say are some of your best qualities"
"Q2025","that''s good what are you most proud of in your life"
"Q2026","that''s great okay i think i''ve asked everything i need to thanks for sharing your thoughts with me"
"Q2027","goodbye"
"Q2028","hi i''m ellie thanks for coming in today i was created to talk to people in a safe and secure environment i''m not a therapist but i''m here to learn about people and would love to learn about you i''ll ask a few questions to get us started and please feel free to tell me anything your answers are totally confidential are you okay with this"
"Q2029","okay so how are you doing today"
"Q2030","that''s good where are you from originally"
"Q2031","really"
"Q2032","why''d you move to l_a"
"Q2033","aw"
"Q2034","when''d you move to l_a"
"Q2035","you were very young weren''t you"
"Q2036","do you travel a lot"
"Q2037","what do you enjoy about traveling"
"Q2038","i''d love to hear about one of your trips"
"Q2039","how did you decide to do that"
"Q2040","are you happy you did that"
"Q2041","that''s so good to hear"
"Q2042","what''d you study at school"
"Q2043","are you still working in that"
"Q2044","what do you do now"
"Q2045","mhm"
"Q2046","what''s your dream job"
"Q2047","okay do you consider yourself an introvert"
"Q2048","why"
"Q2049","okay what do you do to relax"
"Q2050","okay what are some things that make you really mad"
"Q2051","i see what you mean what do you do when you''re annoyed"
"Q2052","yeah how are you at controlling your temper"
"Q2053","that''s good when was the last time you argued with someone and what was it about"
"Q2054","that sucks"
"Q2055","how close are you to your family"
"Q2056","that''s great who''s someone that''s been a positive influence in your life"
"Q2057","tell me more about that"
